steer_dir, step_count, heading, gyro_x, gyro_y, accel_x, accel_y
0,11999,2.38,1.69,-1.06,0.48,0.93
0,11999,2.44,4.44,-0.75,-0.35,1.1
0,11999,2.38,4.44,-0.75,-0.35,1.1
0,11999,2.38,0.5,1.5,0.41,0.49
0,11999,2.38,-1.12,1.12,-0.61,1.07
0,11999,2.38,-1.12,1.12,-0.61,1.07
0,11999,2.44,-2.81,-0.06,0.17,-0.16
0,11999,2.44,-2.81,-0.06,0.17,-0.16
0,11999,2.44,-0.81,-1.44,0.1,-0.23
0,11999,2.44,-0.81,-1.44,0.1,-0.23
0,11999,2.44,0.37,-0.63,-0.08,0.42
0,11999,2.44,-1.5,0.81,0.22,-0.23
0,11999,2.44,-1.5,0.81,0.22,-0.23
0,11999,2.44,-1.19,1.0,-0.72,-0.32
0,11999,2.44,-1.19,1.0,0.0,-0.55
0,11999,2.44,0.06,-0.31,0.0,-0.55
0,11999,2.44,1.0,-1.06,0.11,-0.36
0,11999,2.44,1.0,-1.06,-0.33,-0.3
0,11999,2.44,1.25,0.0,-0.33,-0.3
0,11999,2.44,0.31,1.0,-0.55,-0.29
0,11999,2.44,0.31,1.0,-0.51,0.13
0,11999,2.44,0.75,0.31,-0.51,0.13
0,11999,2.44,0.31,-1.12,-0.01,0.19
0,11999,2.44,0.31,-1.12,-0.01,0.19
0,11999,2.44,-0.37,-0.63,-0.12,0.12
0,11999,2.44,-1.06,0.63,-0.33,-0.23
0,11999,2.44,-1.06,0.63,-0.46,-0.5
0,11999,2.44,-1.0,0.94,-0.46,-0.5
0,11999,2.44,-0.19,0.06,-0.25,-0.3
0,11999,2.44,-0.19,0.06,0.01,-0.47
0,11999,2.44,0.19,-0.69,0.01,-0.47
0,11999,2.44,0.44,-0.37,-0.22,-0.24
0,11999,2.44,0.44,-0.37,-0.32,-0.27
0,11999,2.44,0.56,0.19,-0.32,-0.27
0,11999,2.44,0.63,0.56,-0.3,-0.2
0,11999,2.44,0.63,0.56,0.09,0.14
0,11999,2.44,0.37,0.12,0.09,0.14
0,11999,2.44,-0.25,-0.44,-0.2,-0.04
0,11999,2.44,-0.25,-0.44,-0.2,-0.04
0,11999,2.44,-0.63,-0.19,-0.33,-0.12
0,11999,2.44,-0.44,0.19,-0.18,-0.37
0,11999,2.44,-0.44,0.19,-0.18,-0.37
0,11999,2.44,-0.31,0.12,-0.11,-0.29
0,11999,2.44,-0.31,0.12,-0.22,-0.3
0,11999,2.44,-0.12,-0.12,-0.22,-0.3
0,11999,2.44,-0.06,-0.06,-0.1,-0.39
0,11999,2.44,-0.06,-0.06,-0.1,-0.39
0,11999,2.44,0.25,0.12,-0.25,-0.11
0,11999,2.44,0.25,0.12,-0.13,-0.11
0,11999,2.44,0.31,0.12,-0.13,-0.11
0,11999,2.44,0.31,-0.12,-0.19,0.0
0,11999,2.44,0.31,-0.12,-0.18,-0.08
0,11999,2.44,-0.12,0.0,-0.18,-0.08
0,11999,2.44,-0.12,0.0,-0.23,-0.16
0,11999,2.44,-0.12,0.06,-0.23,-0.16
0,49,0.0,1.69,-1.25,0.13,1.47
0,52,0.0,1.69,-1.25,0.13,1.47
0,55,0.0,-2.5,-0.81,-0.35,0.93
0,57,0.0,-2.06,-0.81,-0.38,0.19
0,60,0.0,-2.06,-0.81,-0.38,0.19
0,63,0.0,-1.25,-1.12,-0.09,0.38
0,65,0.0,-1.5,-1.31,0.25,-0.11
0,67,0.0,-1.5,-1.31,-0.06,-0.64
0,71,0.0,-2.56,-1.25,-0.06,-0.64
0,73,0.0,-1.25,-1.0,-0.16,-0.79
0,75,0.0,-1.25,-1.0,-0.16,-0.79
0,78,0.0,1.31,-1.12,-0.67,-0.01
0,80,359.94,1.06,-1.19,-0.33,0.1
0,83,359.94,1.06,-1.19,-0.33,0.1
0,86,359.94,-0.56,-0.88,-0.2,-0.07
0,88,359.94,-1.0,-0.5,0.01,-0.47
0,91,359.94,-1.0,-0.5,-0.43,-0.14
0,93,359.94,0.31,-0.75,-0.43,-0.14
0,96,359.94,1.06,-1.06,0.0,-0.04
0,98,359.94,1.06,-1.06,0.0,-0.04
0,101,359.94,-0.19,0.0,0.19,-0.51
0,103,0.0,-0.75,0.81,0.0,-0.98
0,106,0.0,-0.75,0.81,0.0,-0.98
0,109,0.0,-0.12,1.12,0.16,-1.24
0,111,0.06,1.63,0.75,-0.24,-0.37
0,114,0.06,1.63,0.75,-0.24,-0.37
0,116,0.06,1.75,0.81,-0.46,0.79
0,118,0.06,1.75,0.81,-0.63,0.86
0,121,0.06,0.69,1.25,-0.63,0.86
0,124,0.0,-0.75,0.37,-0.68,0.74
0,126,0.0,-0.75,0.37,-0.14,0.65
0,129,0.0,-1.56,-0.19,-0.14,0.65
0,131,0.0,-1.12,-0.44,0.11,-0.07
0,134,0.0,-1.12,-0.44,0.0,-0.47
0,137,0.0,-1.37,-0.44,0.0,-0.47
0,139,0.0,-1.56,-0.5,-0.05,-1.22
0,141,0.0,-1.56,-0.5,-0.33,-0.82
0,145,0.0,-1.44,-1.31,-0.33,-0.82
0,147,359.94,-0.69,-1.75,-0.08,-0.6
0,149,359.94,-0.69,-1.75,-0.49,-0.02
0,151,359.94,0.06,-1.12,-0.49,-0.02
0,154,359.94,0.0,-0.37,-0.36,0.0
0,157,359.94,0.0,-0.37,-0.36,0.0
0,159,359.94,-0.63,-0.56,-0.66,-0.22
0,161,359.94,-0.12,-1.56,-0.2,0.08
0,164,359.94,-0.12,-1.56,-0.2,0.08
0,168,359.94,0.0,-0.94,0.37,-0.56
0,170,0.0,0.44,-0.25,0.17,-0.6
0,172,0.0,0.44,-0.25,0.17,-0.6
0,175,0.0,0.12,0.0,0.01,-1.24
0,177,0.0,0.94,-0.69,0.08,-1.04
0,180,0.0,0.94,-0.69,0.08,-1.04
0,183,0.0,2.0,-0.94,0.08,-0.6
0,185,0.06,2.0,-0.94,0.35,-0.11
0,188,0.06,3.06,-0.56,0.35,-0.11
0,190,0.06,2.94,0.5,-0.24,0.84
0,192,0.06,2.94,0.5,-0.56,0.76
0,195,0.06,0.88,0.44,-0.56,0.76
0,198,0.06,-1.75,0.37,-0.82,0.64
0,200,0.06,-1.75,0.37,-0.44,0.31
0,203,0.06,-3.06,0.88,-0.44,0.31
0,205,0.06,-2.06,0.94,-0.14,0.29
0,208,0.06,-2.06,0.94,-0.28,0.21
0,210,0.06,-0.12,0.88,-0.28,0.21
0,213,0.06,0.06,0.94,-0.56,0.2
0,215,0.06,0.06,0.94,-0.56,0.2
0,218,0.06,-0.31,0.5,-0.4,-0.05
0,220,0.06,-0.44,-0.19,0.11,-0.36
0,223,0.0,-0.44,-0.19,0.28,-0.55
0,226,0.0,0.5,-0.81,0.28,-0.55
0,228,0.0,0.94,-0.63,0.0,-0.11
