steer_dir, step_count, heading, gyro_x, gyro_y, accel_x, accel_y
1,2,0.0,0.06,-0.12,-0.2,-0.29
1,5,0.0,0.12,0.0,-0.2,-0.29
1,7,0.0,-0.37,-0.25,0.23,-0.6
1,9,359.94,-0.37,-0.25,-1.51,-0.52
1,13,359.94,0.12,0.25,-1.51,-0.52
1,15,0.0,8.56,-0.5,0.13,2.12
1,17,359.94,8.56,-0.5,-0.54,4.62
1,20,359.94,8.81,0.5,-0.54,4.62
1,23,359.94,0.06,1.12,1.3,3.62
1,25,359.94,0.06,1.12,-0.88,1.29
1,28,359.94,-8.44,2.44,-0.88,1.29
1,30,359.94,-6.69,1.44,-0.12,-2.67
1,33,359.94,-6.69,1.44,0.25,-0.01
1,36,359.94,0.44,0.25,0.25,-0.01
1,39,359.94,1.88,0.69,-0.09,0.67
1,41,359.94,1.88,0.69,-0.2,-1.02
1,43,359.94,-4.5,1.19,-0.2,-1.02
1,46,359.88,-4.13,0.25,-1.29,-1.4
1,49,359.88,-0.75,-1.69,-0.32,-0.33
1,52,359.88,-0.75,-1.69,-0.32,-0.33
1,53,359.88,2.5,-2.5,-0.21,-0.11
1,54,359.88,2.44,-0.63,0.33,-0.6
1,57,359.88,2.44,-0.63,0.33,-0.6
1,60,359.88,1.12,1.31,-0.04,-1.95
1,62,359.94,-0.88,-0.44,-1.7,-0.16
1,65,359.94,-0.88,-0.44,-1.7,-0.16
1,67,359.94,0.06,-0.75,0.79,-0.67
1,69,359.94,0.06,-0.75,-0.21,-0.64
1,72,359.94,0.19,-0.12,-0.21,-0.64
1,75,359.94,4.25,-0.69,0.38,0.52
1,77,359.94,4.25,-0.69,0.34,1.53
1,80,359.94,3.38,-0.94,0.34,1.53
1,83,359.94,0.44,-1.0,0.01,0.97
1,85,359.94,-1.75,-1.37,0.03,-0.13
1,87,359.94,-1.75,-1.37,0.03,-0.13
1,89,359.94,-1.81,-0.63,-0.17,-0.53
1,92,359.94,-1.81,-0.63,-0.17,-0.53
1,94,359.88,0.06,0.69,-0.37,0.22
1,97,359.88,0.06,0.69,-0.75,0.99
1,100,359.88,-1.56,0.94,-0.75,0.99
1,102,359.88,-4.19,1.12,-0.16,0.21
1,104,359.88,-4.19,1.12,-0.28,-0.33
1,107,359.88,-4.06,0.88,-0.28,-0.33
1,109,359.88,-1.06,0.25,-0.01,-0.8
1,112,359.88,-1.06,0.25,0.38,-1.18
1,112,359.88,1.69,0.19,0.38,-1.18
1,113,359.81,3.13,0.75,0.5,-1.35
1,115,359.81,3.13,0.75,-0.21,-0.76
1,118,359.81,2.19,1.06,-0.21,-0.76
1,120,359.81,-0.94,1.12,-0.57,-1.08
1,122,359.81,-0.94,1.12,-0.57,-1.08
1,124,359.81,-3.94,-0.88,-0.26,-0.81
1,126,359.88,-3.94,-0.88,0.42,-3.4
1,130,359.88,0.19,0.37,0.42,-3.4
1,132,359.88,2.56,2.31,0.13,0.0
1,134,359.88,2.56,2.31,-1.6,0.99
1,137,359.88,2.5,1.56,-1.6,0.99
1,138,359.88,-1.31,-0.31,0.2,-0.62
1,140,359.88,-1.31,-0.31,0.2,-0.62
1,142,359.88,1.5,-2.06,-0.06,-0.89
1,144,359.88,1.5,-2.06,-0.06,-0.89
1,148,359.88,7.0,-1.25,0.5,1.13
1,150,359.88,3.88,0.12,0.11,1.02
1,153,359.88,3.88,0.12,0.11,1.02
1,155,359.88,-2.5,0.06,-0.34,-0.09
1,157,359.88,-5.06,-1.81,-0.02,-0.69
1,159,359.88,-5.06,-1.81,-0.02,-0.69
1,161,359.88,-3.25,-2.5,0.54,-0.77
1,163,359.88,-3.25,-2.5,0.54,-0.77
1,166,359.88,-1.31,-1.06,0.56,-0.34
1,169,359.88,-1.75,0.63,0.08,-0.98
1,171,359.88,-1.75,0.63,-0.12,-1.34
1,173,359.88,-0.37,0.44,-0.12,-1.34
1,173,359.88,2.44,-0.25,-0.33,-0.79
1,175,359.88,2.44,-0.25,-0.33,-0.79
1,178,359.81,2.0,0.12,-0.08,-0.39
1,180,359.81,2.0,0.12,-0.08,-0.39
1,183,359.81,-1.37,1.06,-0.23,0.59
1,184,359.81,-6.13,0.5,-0.07,-2.39
1,187,359.81,-6.13,0.5,-0.07,-2.39
1,190,359.81,-0.88,-0.5,0.16,-1.74
1,192,359.81,2.44,-0.19,-0.09,-1.18
1,194,359.81,2.44,-0.19,-0.09,-1.18
1,197,359.81,3.63,1.69,-0.9,0.65
1,199,359.81,3.63,1.69,-0.9,0.65
1,202,359.81,0.31,1.5,0.36,-0.29
1,205,359.81,-0.25,0.0,-0.78,0.03
1,207,359.81,-0.25,0.0,-0.78,0.03
1,210,359.81,3.31,-0.12,-0.43,1.09
1,212,359.81,1.81,0.88,-0.25,0.63
1,214,359.81,1.81,0.88,-0.25,0.63
1,216,359.81,-1.88,1.37,-0.91,0.23
1,218,359.81,-1.88,1.37,-0.91,0.23
1,220,359.81,-3.06,0.12,-0.11,-0.91
1,222,359.81,-1.56,-1.5,0.42,-0.97
1,225,359.81,-1.56,-1.5,0.42,-0.97
1,229,359.81,-0.37,-0.56,-0.23,-0.82
1,230,359.81,-1.81,0.63,-0.06,-1.45
1,232,359.81,-1.81,0.63,-0.06,-1.45
1,234,359.81,-1.0,0.06,-0.79,-0.77
1,236,359.81,-1.0,0.06,-0.79,-0.77
1,238,359.88,2.13,-1.31,-0.99,-0.27
1,241,359.88,2.13,-1.31,-0.99,-0.27
1,245,359.88,3.44,-1.88,-0.29,0.86
1,247,359.88,2.0,-0.88,-0.35,0.58
1,250,359.88,2.0,-0.88,-0.35,0.58
1,251,359.88,-0.63,-0.12,-0.5,-0.58
1,254,359.88,-0.63,-0.12,-0.13,-0.51
1,257,359.88,-1.0,-0.81,-0.13,-0.51
1,259,359.88,-0.94,-1.06,0.55,-0.57
1,261,359.88,-0.94,-1.06,0.23,-0.87
1,264,359.88,-2.44,-0.12,0.23,-0.87
1,267,359.81,-1.81,0.5,-0.54,-0.75
1,270,359.81,1.06,0.56,-0.58,-0.35
2,272,359.81,1.06,0.56,-0.58,-0.35
2,274,359.81,3.0,0.31,-0.36,0.74
2,276,359.81,3.0,0.31,-0.36,0.74
2,278,359.81,1.5,0.5,0.33,0.06
2,280,359.81,1.5,0.5,0.33,0.06
2,283,359.81,-0.31,1.56,-0.78,0.08
2,285,359.81,-0.81,1.37,-1.18,0.56
2,286,359.81,-0.81,1.37,-1.18,0.56
2,287,359.81,-1.06,0.06,-0.47,0.51
2,289,359.81,-1.06,0.06,-0.47,0.51
2,291,359.81,-2.31,-0.37,-0.27,0.66
2,293,359.81,-2.31,-0.37,0.55,-1.12
2,297,359.81,-3.81,0.37,0.55,-1.12
2,297,359.81,-1.75,1.25,0.18,-2.1
2,298,359.81,-1.75,1.25,-0.48,-1.07
2,302,359.81,1.63,0.63,-0.48,-1.07
2,303,359.88,2.88,-0.12,-0.15,-1.03
2,305,359.88,2.88,-0.12,-0.15,-1.03
2,308,359.88,-2.81,-1.44,-0.79,-0.87
2,310,359.94,-2.81,-1.44,-0.79,-0.87
2,312,359.94,-0.44,0.0,-0.66,-1.85
2,316,359.94,2.19,1.37,-0.33,1.27
2,318,359.94,2.19,1.37,-1.03,0.74
2,321,359.94,3.0,0.44,-1.03,0.74
2,323,359.94,0.06,-1.12,-0.58,1.09
2,325,359.94,0.06,-1.12,-0.58,1.09
2,326,359.94,-0.88,-2.0,-0.33,0.07
2,328,359.94,-0.88,-2.0,-0.33,0.07
2,332,359.94,2.13,-1.19,-0.38,0.7
2,334,359.88,3.31,0.12,-0.69,1.2
2,337,359.88,3.31,0.12,-0.69,1.2
2,340,359.88,0.37,-0.81,-0.26,0.35
2,341,359.88,-1.06,-1.63,0.67,-0.31
2,343,359.88,-1.06,-1.63,0.67,-0.31
2,345,359.88,-0.69,-1.44,0.59,0.08
2,348,359.88,-0.69,-1.44,0.59,0.08
2,351,359.88,-0.31,0.75,-0.24,0.24
2,352,359.88,-2.19,2.25,-0.75,-0.36
2,355,359.88,-2.19,2.25,-0.75,-0.36
2,358,359.94,-3.44,0.75,0.12,-1.23
2,360,359.94,-2.0,-0.94,0.82,-1.47
2,362,359.94,-2.0,-0.94,0.82,-1.47
2,365,359.88,0.31,-0.37,0.52,-1.61
2,368,359.88,0.31,-0.37,0.52,-1.61
2,371,359.88,1.69,1.81,-1.09,0.13
2,373,359.94,1.25,1.75,-0.52,-0.02
2,376,359.94,1.25,1.75,-0.63,0.01
2,379,359.94,0.81,-0.19,-0.63,0.01
2,381,359.94,0.56,-1.12,-0.42,0.67
2,383,359.94,0.56,-1.12,-0.42,0.67
2,384,359.94,-1.12,-0.19,-1.12,0.5
2,386,359.88,-1.12,-0.19,-1.12,0.5
2,390,359.88,-1.69,0.44,-0.51,0.11
2,393,359.88,-1.37,-0.75,-0.16,-0.38
2,395,359.88,-1.37,-0.75,0.32,-0.16
2,398,359.88,-0.5,-1.75,0.32,-0.16
2,400,359.94,0.37,-0.94,0.33,-0.54
2,402,359.94,0.37,-0.94,0.33,-0.54
2,404,359.94,0.75,0.37,-0.41,-0.89
2,406,0.0,0.75,0.37,-0.41,-0.89
2,409,0.0,0.63,0.06,-0.94,0.06
2,411,0.0,-0.19,-1.63,-0.93,0.38
2,414,0.0,-0.19,-1.63,-0.93,0.38
2,417,0.0,-1.69,-1.94,-0.47,0.43
2,419,0.06,-1.94,-0.94,-0.29,0.2
2,421,0.06,-1.94,-0.94,-0.29,0.2
2,425,0.06,-1.94,-0.56,-0.16,-0.04
2,426,0.06,-1.94,-0.56,-0.16,-0.04
2,426,0.06,-1.5,-0.5,-0.06,-1.07
2,427,0.06,-1.5,-0.5,-0.06,-1.07
2,429,0.06,-0.88,-0.31,-0.12,-1.29
2,431,0.06,-0.19,-0.12,-0.23,-0.94
2,434,0.06,-0.19,-0.12,-0.23,-0.94
2,436,0.0,-0.69,-0.81,-0.29,-1.68
2,438,0.0,-0.69,-0.81,-0.29,-1.68
2,439,0.0,2.31,0.5,-0.27,-0.99
2,441,0.0,2.31,0.5,-0.27,-0.99
2,445,0.0,-0.06,-0.37,-1.29,0.32
2,447,0.0,-0.06,0.37,-0.06,-0.14
2,449,0.0,-0.06,0.37,-0.06,-0.14
2,452,0.0,0.37,0.56,0.24,-0.06
2,454,0.0,2.81,0.56,-0.44,0.46
2,456,0.0,2.81,0.56,-0.44,0.46
2,458,0.0,4.81,1.12,-1.21,2.56
2,460,0.0,4.81,1.12,-1.21,2.56
2,462,0.0,0.88,0.56,-0.34,0.04
2,464,0.0,0.88,0.56,-0.6,-0.09
2,468,0.0,-1.75,0.12,-0.6,-0.09
2,470,0.0,-1.19,0.88,-0.56,0.6
2,472,0.0,-1.19,0.88,-0.52,0.51
2,474,0.0,-0.06,1.0,-0.52,0.51
2,476,0.0,0.25,1.25,-1.26,1.03
2,479,0.0,0.25,1.25,-1.26,1.03
2,482,0.06,-1.75,0.31,-0.57,-0.14
2,484,0.06,0.0,-0.37,0.42,-0.77
2,487,0.06,0.0,-0.37,0.42,-0.77
2,490,0.06,1.31,-0.5,0.46,-0.48
2,492,0.12,1.31,-0.5,0.15,-0.57
2,494,0.12,1.31,0.0,0.15,-0.57
2,496,0.19,0.69,-0.06,-0.02,-0.73
2,498,0.19,0.69,-0.06,-0.02,-0.73
2,500,0.19,-0.81,-2.0,-0.15,-1.45
2,503,0.19,-0.81,-2.0,-0.15,-1.45
2,505,0.19,-0.88,-2.19,0.09,-1.37
2,507,0.19,-0.19,-1.0,0.16,-1.11
2,510,0.19,-0.19,-1.0,0.16,-1.11
2,512,0.19,-0.88,-0.44,-0.2,-0.4
2,515,0.19,-0.88,-0.44,0.11,-0.84
2,518,0.19,-0.37,-0.94,0.11,-0.84
2,520,0.19,-1.25,-1.06,-0.13,-0.47
2,523,0.19,-1.25,-1.06,-0.44,-0.56
2,526,0.19,-0.31,0.19,-0.44,-0.56
2,528,0.19,1.0,1.06,-1.05,0.33
2,530,0.19,1.0,1.06,-0.77,0.82
2,533,0.19,1.5,0.19,-0.77,0.82
2,535,0.19,0.81,-0.44,-0.45,0.58
2,537,0.19,0.81,-0.44,-0.45,0.58
2,541,0.19,-0.75,-0.12,-0.56,0.41
2,543,0.12,-1.5,0.88,-0.79,0.62
2,546,0.12,-1.5,0.88,-0.22,0.19
2,548,0.12,-0.69,0.63,-0.22,0.19
2,550,0.12,-0.19,0.12,-0.37,0.17
2,553,0.12,-0.19,0.12,-0.37,0.17
2,556,0.12,0.19,0.19,0.14,0.13
2,559,0.12,0.56,0.75,0.0,-0.53
2,560,0.19,0.56,0.75,-0.48,0.7
2,561,0.19,1.31,1.06,-0.48,0.7
2,564,0.19,1.94,0.81,0.13,-0.67
2,565,0.25,1.94,0.81,0.14,-0.26
2,567,0.25,0.63,-0.06,0.14,-0.26
2,568,0.25,0.63,-0.06,-0.76,-1.28
2,568,0.25,-2.69,-0.88,-0.76,-1.28
2,569,0.25,-4.81,-0.19,0.78,-0.58
2,570,0.25,-4.81,-0.19,0.78,-0.58
2,573,0.25,-1.37,0.44,-0.97,-1.99
2,575,0.25,0.69,-1.37,-1.12,-0.4
2,578,0.25,0.69,-1.37,-1.12,-0.4
2,580,0.25,1.19,-1.06,2.26,-0.26
2,582,0.25,1.19,-1.06,-0.89,-2.41
2,585,0.25,-0.81,0.37,-0.89,-2.41
2,587,0.31,2.88,0.88,-0.12,-1.14
2,590,0.31,2.88,0.88,0.36,1.08
2,593,0.31,6.0,-1.44,0.36,1.08
2,595,0.31,5.25,-1.88,1.19,1.02
2,597,0.31,5.25,-1.88,-0.21,0.42
2,599,0.31,0.12,-0.06,-0.21,0.42
2,601,0.25,0.12,-0.06,-1.13,-0.39
2,603,0.25,-3.13,-0.25,-1.13,-0.39
2,605,0.25,-3.56,-1.88,0.47,-1.19
2,608,0.25,-3.56,-1.88,0.47,-1.19
2,611,0.25,-1.12,-1.94,0.67,-0.44
2,613,0.19,-0.5,0.19,1.1,-1.35
2,616,0.19,-0.5,0.19,1.1,-1.35
